sitename,sitename1,year,treatments,treat,tni_fe,oni,ini,n_fix,n_de,n_in_total,ratio,p2o5,k2o,kin_i,k_o,k_in_total,cain_i,ca_o,ca_in_total,na_o_in,mg_o_in,bc_de_in,treat_no.,ph,ph_de,soc,clay,cec,c1_yield_grain,c1_yield_straw,c2_yield_grain,c2_yield_straw,c1_n_grain,c1_k_grain,c1_ca_grain,c1_mg_grain,c1_na_grain,c1_n_straw,c1_k_straw,c1_ca_straw,c1_mg_straw,c1_na_straw,c2_n_grain,c2_k_grain,c2_ca_grain,c2_mg_grain,c2_na_grain,c2_n_straw,c2_k_straw,c2_ca_straw,c2_mg_straw,c2_na_straw,n_output,n_sur,k_output,ca_output,mg_output,na_output,croptype,ct,in_eq_n,in_eq_k,in_eq_ca,in_eq_na,in_eq_mg,in_eq_bc,up_eq_n,up_eq_k,up_eq_ca,up_eq_mg,up_eq_na,up_eq_bc,bc_sur
27Qiyang,Qiyang,2001,NPKM,NPKMp,343.26,253.26,90,10,46.2,399.46,73.7808075511274,120,120,99.6,140.868,240.468,141.176470588235,226.8,367.976470588235,35.028,93.744,0.35,3,5.7,0,14.3503480278422,44,310.28403712297,1201.2,2766,7161,6717,21,4.1,0.378431186719615,1.36798138892605,0.0186458794636011,7.4,17.9,2.05184750603912,0.404293596784513,0.051948508774841,10.5,3.7,0.0803941119487916,0.879498800888993,0.0136525750951866,8.97,20.4,4.03794518132237,1.07520810313864,0.0136525750951866,181.13559,1.55946007142857,217.95882,33.8285617617994,16.2817590750323,0.355557442853888,W-M,U,2.85328571428571,0.615034413260935,1.83630156488964,0.152363427401119,0.771396831927587,3.72509623747928,1.29382564285714,0.557463674891236,0.168813622245618,0.13397867990152,0.00154658988898013,0.861802566927354,2.86329367055193
27Qiyang,Qiyang,2002,NPKM,NPKMp,343.26,253.26,90,10,50.4,403.66,73.7808075511274,120,120,99.6,140.868,240.468,141.176470588235,226.8,367.976470588235,35.028,93.744,0.35,3,5.9,0.2,14.2343387470998,44,309.938329466357,1780.5,2442,7087.5,3849,28.8,6.05,0.378431186719615,1.36798138892605,0.0186458794636011,5.73214170563947,21.0395582276465,2.05184750603912,0.404293596784513,0.051948508774841,11.6,3.95879804292521,0.0803941119487916,0.879498800888993,0.0136525750951866,9.12226900928683,18.3468220715876,4.03794518132237,1.07520810313864,0.0136525750951866,182.602903461917,1.57897926098631,160.825525474686,21.7962526090487,13.794899566612,0.309368634341612,W-M,U,2.88328571428571,0.615034413260935,1.83630156488964,0.152363427401119,0.771396831927587,3.72509623747928,1.3043064532994,0.411336363664624,0.108769163177048,0.113514911060374,0.0013456796122728,0.63496611751432,3.09013011996496
27Qiyang,Qiyang,2003,NPKM,NPKMp,343.26,253.26,90,10,53.2,406.46,73.7808075511274,120,120,99.6,140.868,240.468,141.176470588235,226.8,367.976470588235,35.028,93.744,0.34,3,5.9,0.2,18.2888631090487,44,322.020812064965,1860,3071.25,5985,5293.5,24.3428803821127,2.07472286878721,0.378431186719615,1.36798138892605,0.0186458794636011,2.92377227617006,12.0909774186556,2.05184750603912,0.404293596784513,0.051948508774841,8.11228932635768,3.005,0.0803941119487916,0.879498800888993,0.0136525750951866,5.10886089613462,10.412,4.03794518132237,1.07520810313864,0.0136525750951866,129.853199885856,1.97576285795817,114.09424593299,28.8616402375646,14.7415465098119,0.348208761588091,W-M,U,2.90328571428571,0.615034413260935,1.83630156488964,0.152363427401119,0.771396831927587,3.71509623747928,0.927522856327545,0.291813828051323,0.144027347859497,0.121304641101106,0.00151462488199899,0.558660441893925,3.15643579558536
27Qiyang,Qiyang,2004,NPKM,NPKMp,334.314,244.314,90,10,54.6,398.914,73.0792009906854,120,120,99.6,140.868,240.468,141.176470588235,226.8,367.976470588235,35.028,93.744,0.34,3,5.61,-0.0899999999999999,14.0087006960557,44,309.265928074246,2383.5,4713,5546.25,6012.75,25.5394786910198,4.60110500697615,0.378431186719615,1.36798138892605,0.0186458794636011,4.14350347013956,23.0089270642152,2.05184750603912,0.404293596784513,0.051948508774841,10.3510768719034,5.26693286827184,0.0803941119487916,0.879498800888993,0.0136525750951866,9.12226900928683,18.3468220715876,4.03794518132237,1.07520810313864,0.0136525750951866,192.661262401197,1.47323383999145,258.934387869365,35.2973887619006,16.5088971087281,0.447085891082581,W-M,U,2.84938571428571,0.615034413260935,1.83630156488964,0.152363427401119,0.771396831927587,3.71509623747928,1.37615187429426,0.662265080244831,0.176143464054597,0.135847744157401,0.00194471676110613,0.976201005217935,2.73889523226135
27Qiyang,Qiyang,2005,NPKM,NPKMp,227.466,137.466,90,10,47.6,285.066,60.4336472263987,120,120,99.6,140.868,240.468,141.176470588235,226.8,367.976470588235,35.028,93.744,0.33,3,5.74,0.04,12.9875870069606,44,306.223009280743,2049,5275.5,4788,5711.25,24.7067071745735,5.43128198168901,0.378431186719615,1.36798138892605,0.0186458794636011,4.19260635945476,21.2811577626985,2.05184750603912,0.404293596784513,0.051948508774841,8.77768695913528,3.179,0.0803941119487916,0.879498800888993,0.0136525750951866,4.84028825205296,12.424,4.03794518132237,1.07520810313864,0.0136525750951866,142.413799289882,1.01894429078656,209.575066557597,35.046568444536,15.2876672734532,0.45560156413073,W-M,U,2.03618571428571,0.615034413260935,1.83630156488964,0.152363427401119,0.771396831927587,3.70509623747928,1.01724142349916,0.536020917936577,0.174891803206428,0.125798537530987,0.00198175790339925,0.838693016577391,2.86640322090189
27Qiyang,Qiyang,2006,NPKM,NPKMp,298.278,208.278,90,10,46.2,354.478,69.826805865669,120,120,99.6,140.868,240.468,141.176470588235,226.8,367.976470588235,35.028,93.744,0.33,3,5.83,0.13,14.4795871829262,44,310.66916980512,1542.75,3174,4639.5,3537,26.3473607304103,2.70629135677837,0.378431186719615,1.36798138892605,0.0186458794636011,2.66001570827626,8.59081608639864,2.05184750603912,0.404293596784513,0.051948508774841,10.6510534262389,3.69492428513373,0.0803941119487916,0.879498800888993,0.0136525750951866,7.6612190968763,10.3229612240428,4.03794518132237,1.07520810313864,0.0136525750951866,125.603574941596,1.63481732184574,85.0972963192164,21.7515892862035,11.2771269114856,0.305280777659609,W-M,U,2.53198571428571,0.615034413260935,1.83630156488964,0.152363427401119,0.771396831927587,3.70509623747928,0.897168392439973,0.217649607065311,0.108546281182711,0.0927967653691468,0.00132789841280967,0.420320552029978,3.2847756854493
27Qiyang,Qiyang,2007,NPKM,NPKMp,227.466,137.466,90,10,46.2,283.666,60.4336472263987,120,120,99.6,140.868,240.468,141.176470588235,226.8,367.976470588235,35.028,93.744,0.32,3,6.04,0.34,14.3849187935035,44,310.38705800464,1334.83025708635,3250,4444.94742857143,5820.75,24.3341461302608,4.5827566433258,0.378431186719615,1.36798138892605,0.0186458794636011,5.73214170563947,21.0395582276465,2.05184750603912,0.404293596784513,0.051948508774841,11.6,3.95879804292521,0.0803941119487916,0.879498800888993,0.0136525750951866,9.12226900928683,18.3468220715876,4.03794518132237,1.07520810313864,0.0136525750951866,155.771252585596,0.913533910102885,198.884680222553,31.0348628082468,13.3078206384066,0.333874942644269,W-M,U,2.02618571428571,0.615034413260935,1.83630156488964,0.152363427401119,0.771396831927587,3.69509623747928,1.11265180418283,0.508678587617757,0.154872313030824,0.10950685569559,0.0014522761957472,0.774510032539918,2.92058620493936
27Qiyang,Qiyang,2008,NPKM,NPKMp,410.15928,320.15928,90,10,44.8,464.95928,78.0573049572352,120,120,99.6,139.92888,239.52888,141.176470588235,225.288,366.464470588235,34.79448,93.11904,0.32,3,6.3,0.6,14.1183294663573,44,309.592621809745,1509.75,2553,5618.62285714286,5769.225,21.4024165381428,6.13807977959052,0.378431186719615,1.36798138892605,0.0186458794636011,6.14918718927044,27.5759105869657,2.05184750603912,0.404293596784513,0.051948508774841,11.8216584321476,4.5836865897671,0.0803941119487916,0.879498800888993,0.0136525750951866,15.5786273306722,24.7855474995981,4.03794518132237,1.07520810313864,0.0136525750951866,204.309219800666,1.86178614428096,248.415672192374,29.5572216507575,14.2421609888566,0.316248607464544,W-M,U,3.32113771428571,0.612632467396281,1.82875627819869,0.151347671218445,0.766254186381403,3.67899060319482,1.45935157000476,0.635361824407644,0.147498486205687,0.11719531774414,0.00137560585086585,0.901431234208336,2.77755936898648
27Qiyang,Qiyang,2009,NPKM,NPKMp,318.03648,228.03648,90,10,43.6,371.63648,71.7013595421506,120,120,99.6,142.74624,242.34624,141.176470588235,229.824,371.000470588235,35.49504,94.99392,0.31,3,5.815,0.115,12.4214670567006,44,304.535971828968,2258.612925,2962.648125,6303.15,5089.00813796156,26.6543692598962,5.53887849541309,0.378431186719615,1.36798138892605,0.0186458794636011,4.94805500111276,24.2975234232444,2.05184750603912,0.404293596784513,0.051948508774841,13.2725228289778,2.83280908892029,0.0803941119487916,0.879498800888993,0.0136525750951866,9.75459266893739,19.5268440233204,4.03794518132237,1.07520810313864,0.0136525750951866,208.161152533762,1.16768091047313,201.723083523975,27.9895037712229,15.3028757663492,0.351551270947572,W-M,U,2.65454628571429,0.619838304990243,1.85139213827155,0.154394939766467,0.781682123019955,3.71730750604821,1.48686537524116,0.515938246737005,0.139675152309112,0.125923684561606,0.00152916399876646,0.78306624760649,2.93424125844172
27Qiyang,Qiyang,2010,NPKM,NPKMp,367.851336,277.851336,90,10,42.4,420.251336,75.5335943648714,120,120,99.6,130.960284,230.560284,141.176470588235,210.8484,352.024870588235,32.564364,87.150672,0.31,3,5.395,-0.305000000000001,13.2892633602039,44,307.122004813408,875.176896634615,4068.60474833966,4387.22331845238,5400.27,27.1350400719803,5.09439588261384,0.378431186719615,1.36798138892605,0.0186458794636011,10.4238113050932,21.3366129288396,2.05184750603912,0.404293596784513,0.051948508774841,13.2772470966621,4.23804513450334,0.0803941119487916,0.879498800888993,0.0136525750951866,9.82228681694513,22.3851290842566,4.03794518132237,1.07520810313864,0.0136525750951866,177.451577228225,1.73428399122697,230.747733733121,30.8380518844704,12.5071082651626,0.361300879918268,W-M,U,3.00179525714286,0.589693884388835,1.75669879030009,0.141647199673907,0.717141921415347,3.51518179577818,1.26751126591589,0.590173316315854,0.153890173583864,0.102917986135878,0.00157157246738003,0.848553048502976,2.66662874727521
27Qiyang,Qiyang,2011,NPKM,NPKMp,364.086568527536,274.086568527536,90,10,41.2,415.286568527536,75.2806041804881,120,120,99.6,142.74624,242.34624,141.176470588235,229.824,371.000470588235,35.49504,94.99392,0.3,3,5.815,0.115,12.4910726251461,44,304.743396422935,2009.22744047619,3826.4413125,5820.92261052632,6300.315,27.1601988588487,3.76820714953825,0.378431186719615,1.36798138892605,0.0186458794636011,7.50780678321788,20.316571039914,2.05184750603912,0.404293596784513,0.051948508774841,13.5662130570648,3.13720766917899,0.0803941119487916,0.879498800888993,0.0136525750951866,8.2893641751933,32.0387052582725,4.03794518132237,1.07520810313864,0.0136525750951866,214.49268065408,1.43424205623897,305.426730336433,34.5199228878061,16.1892356621579,0.40172783949321,W-M,U,2.96633263233954,0.619838304990243,1.85139213827155,0.154394939766467,0.781682123019955,3.70730750604821,1.53209057610057,0.781176497025274,0.172263700223595,0.133217326987516,0.00174742007844102,1.08840494431483,2.61890256173339
27Qiyang,Qiyang,2012,NPKM,NPKMp,237.966,147.966,90,10,40,287.966,62.179471016868,120,120,99.6,127.25076,226.85076,141.176470588235,204.876,346.052470588235,31.64196,84.68208,0.3,3,6.0385,0.3385,14.4603263812193,44,310.611772616034,1452.05083884087,3552.73916666667,5055.25275,2520.45216263736,26.4237402469274,4.2383871285005,0.378431186719615,1.36798138892605,0.0186458794636011,4.30122578621764,24.155318876119,2.05184750603912,0.404293596784513,0.051948508774841,12.3421198107889,3.88556696517768,0.0803941119487916,0.879498800888993,0.0136525750951866,7.26425788391688,17.5134998411485,4.03794518132237,1.07520810313864,0.0136525750951866,134.35149711403,1.0972464491855,155.756362675778,18.4230405412403,10.5788275400944,0.315062146909108,W-M,U,2.0569,0.580206198223452,1.72689490787083,0.137634962752344,0.69682847150792,3.44156454035454,0.959653550814502,0.398371189222492,0.0919359276472891,0.0870506277728405,0.0013704450310445,0.578728189673667,2.86283635068088
27Qiyang,Qiyang,2013,NPKM,NPKMp,329.454712023979,239.454712023979,90,10,38.8,378.254712023979,72.6821330169807,120,120,99.6,139.926745636364,239.526745636364,141.176470588235,225.284563636364,366.461034224599,34.7939492727273,93.1176196363636,0.29,3,5.75,0.0499999999999998,14.5858048165577,44,310.985698353342,1102.2358425,2810.59709625,6361.1325,7667.325,33.3116889,5.4428,0.378431186719615,1.36798138892605,0.0186458794636011,6.9968395,27.0556,2.05184750603912,0.404293596784513,0.051948508774841,10.8644505897834,7.81606615698596,0.0803941119487916,0.879498800888993,0.0136525750951866,6.63841050435481,35.1628990358981,4.03794518132237,1.07520810313864,0.0136525750951866,176.391694823034,1.44187869429246,401.366047344632,37.6556726960521,16.4827229033457,0.358083054065185,W-M,U,2.70181937159985,0.612627008428406,1.82873912981985,0.151345362681666,0.766242498550616,3.64895399948053,1.25994067730739,1.02655626291842,0.187911935206608,0.135632362915826,0.0015575756940628,1.35165813673491,2.29729586274562
27Qiyang,Qiyang,2014,NPKM,NPKMp,329.454712023979,239.454712023979,90,10,37.6,377.054712023979,72.6821330169807,120,120,99.6,139.926745636364,239.526745636364,141.176470588235,225.284563636364,366.461034224599,34.7939492727273,93.1176196363636,0.29,3,5.96,0.26,14.3080759768883,44,310.158066411127,1021.62162162162,3549.05018941891,5013.11629881199,2600.13,35.2666464566377,3.24136565022584,0.378431186719615,1.36798138892605,0.0186458794636011,7.984364117267,27.0624828248799,2.05184750603912,0.404293596784513,0.051948508774841,13.0706918571152,3.7177640447521,0.0803941119487916,0.879498800888993,0.0136525750951866,9.49914772328975,27.7366761299414,4.03794518132237,1.07520810313864,0.0136525750951866,154.589994880373,1.5890336938829,190.114106261267,18.5709306998663,10.0371282498878,0.307357315334227,W-M,U,2.69324794302842,0.612627008428406,1.82873912981985,0.151345362681666,0.766242498550616,3.64895399948053,1.10421424914552,0.486246476857732,0.0926739393176618,0.0825931145845533,0.00133693085534799,0.662850461615295,2.98610353786524
27Qiyang,Qiyang,2015,NPKM,NPKMp,329.454712023979,239.454712023979,90,10,36.4,375.854712023979,72.6821330169807,120,120,99.6,139.926745636364,239.526745636364,141.176470588235,225.284563636364,366.461034224599,34.7939492727273,93.1176196363636,0.28,3,5.8625,0.1625,13.9554088054277,44,309.107118240175,1290.33817338676,3960.38462793255,5351.18010008422,6338.655,37.2216040132754,6.73721817599917,0.378431186719615,1.36798138892605,0.0186458794636011,5.64244076337095,20.4433715268385,2.05184750603912,0.404293596784513,0.051948508774841,12.1713981877576,4.2542139357104,0.0803941119487916,0.879498800888993,0.0136525750951866,9.32478144929172,27.8595212564398,4.03794518132237,1.07520810313864,0.0136525750951866,194.61260852628,1.294586453555,289.013862796945,34.6397543133427,14.8880464528563,0.389391917198401,W-M,U,2.68467651445699,0.612627008428406,1.82873912981985,0.151345362681666,0.766242498550616,3.63895399948053,1.390090060902,0.739198028550973,0.172861691268739,0.122510153901306,0.00169376176506341,1.03626363548608,2.60269036399445
